Gene1,Gene2
AES,ARL6IP5
AES,CUBN
AES,DKK1
AES,ELF4
AES,EPAS1
AES,FRMD4A
AES,GATA6
AES,HIST1H1B
AES,MYBL2
AES,POU4F2
AES,POU5F1
AES,RIAN
AES,SOX17
AES,SRGN
AES,TBX18
CBX8,ADAMTS9
CBX8,AQP8
CBX8,BARX1
CBX8,BMI1
CBX8,COMMD3
CBX8,CUBN
CBX8,DAB2
CBX8,DIDO1
CBX8,DKK1
CBX8,DMRT1
CBX8,EBF1
CBX8,EBF4
CBX8,EED
CBX8,FGF10
CBX8,FOXQ1
CBX8,FRMD4A
CBX8,GATA3
CBX8,GATA4
CBX8,GATA6
CBX8,HEY2
CBX8,HIVEP2
CBX8,HKDC1
CBX8,HOXD13
CBX8,ID3
CBX8,ID4
CBX8,LDHB
CBX8,LHX2
CBX8,LMO4
CBX8,MEF2C
CBX8,MEIS1
CBX8,MSX2
CBX8,MT1
CBX8,NPAS2
CBX8,PAX6
CBX8,PITX2
CBX8,PROX1
CBX8,RAB3IL1
CBX8,SATB2
CBX8,SIX1
CBX8,SP8
CBX8,SRGN
CBX8,TBX18
CBX8,TEAD4
CBX8,THBD
CBX8,TWIST1
CBX8,ZEB2
CBX8,ZFHX3
EOMES,2200002D01RIK
EOMES,ADAM19
EOMES,ADAM23
EOMES,AKR1B8
EOMES,AKT1
EOMES,AMOT
EOMES,ANKRD6
EOMES,ARNT2
EOMES,ASS1
EOMES,ATF3
EOMES,ATF5
EOMES,AU018091
EOMES,BARX1
EOMES,BASP1
EOMES,BCAM
EOMES,BEND5
EOMES,BEX1
EOMES,BMI1
EOMES,BMP4
EOMES,BMPER
EOMES,BRWD1
EOMES,CALCOCO2
EOMES,CBX8
EOMES,CCND1
EOMES,CD63
EOMES,CHCHD10
EOMES,CHD5
EOMES,CITED1
EOMES,CITED2
EOMES,CLCN5
EOMES,CMKLR1
EOMES,COBL
EOMES,COL27A1
EOMES,COTL1
EOMES,CRABP2
EOMES,CREB3L2
